TH  ,TP   ,TN   ,FP   ,FN   ,Pre. ,Rec. 
0.10874906186625444,9308,19774,226,192,0.9762953638581607,0.9797894735810747
0.35328298736360164,9277,19817,183,223,0.980655391016844,0.9765263156866814
0.5307237540651162,9217,19876,124,283,0.9867251899168478,0.970210526213662
0.6594798177629646,9155,19911,89,345,0.9903721331685015,0.9636842104248753
0.7529088772014396,9085,19931,69,415,0.9924623114493705,0.9563157893730193
0.8207036582537898,8994,19941,59,506,0.9934828232637266,0.9467368420056066
0.8698974783089168,8905,19955,45,595,0.994972066927936,0.9373684209539612
0.9055939123714077,8797,19962,38,703,0.9956989246184834,0.9259999999025262
0.9314962595229367,8667,19972,28,833,0.9967797583672479,0.9123157893776509
0.9502917388356261,8503,19976,24,997,0.9971854109303171,0.8950526314847312
0.963930272846737,8290,19978,22,1210,0.9973532241341009,0.8726315788555125
0.9738267807717386,8050,19981,19,1450,0.997645309084441,0.8473684209634349
0.9810079682094667,7746,19982,18,1754,0.9976816072903553,0.8153684209668033
0.9862188419243761,7368,19985,15,2132,0.9979683054316716,0.7755789472867811
0.99,6938,19986,14,2562,0.9979861908806118,0.7303157893968089
