TH  ,TP   ,TN   ,FP   ,FN   ,Pre. ,Rec. 
0.10874906186625444,9018,19492,508,482,0.946672265279585,0.9492631577948144
0.35328298736360164,8908,19600,400,592,0.9570262139066366,0.9376842104276122
0.5307237540651162,8759,19747,253,741,0.9719263203537587,0.9219999999029473
0.6594798177629646,8590,19825,175,910,0.9800342269275488,0.9042105262206094
0.7529088772014396,8418,19874,126,1082,0.9852528088734488,0.8861052630646205
0.8207036582537898,8267,19903,97,1233,0.988402678026255,0.8702105262241884
0.8698974783089168,8086,19933,67,1414,0.9917821659521915,0.8511578946472466
0.9055939123714077,7875,19944,56,1625,0.992939099610019,0.828947368333795
0.9314962595229367,7652,19957,43,1848,0.9944119556862362,0.8054736841257396
0.9502917388356261,7373,19968,32,2127,0.9956785954090913,0.7761052630761994
0.963930272846737,7076,19973,27,2424,0.9961987891037309,0.7448421051847535
0.9738267807717386,6724,19978,22,2776,0.9967388080348741,0.7077894736097063
0.9810079682094667,6340,19983,17,3160,0.9973257824449699,0.6673684209823822
0.9862188419243761,5886,19989,11,3614,0.9981346445653493,0.6195789473032022
0.99,5413,19992,8,4087,0.9985242573328676,0.5697894736242327
